,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
0,1573744254.1207788,-0.03667759150266647,0.04955749213695526,0.13648317754268646,-0.1237148568034172,-0.20580093562602997,0.21666347980499268,813.022216796875,810.9622802734375,804.766845703125,811.3583984375,807.8128051757812,813.0139770507812,812.7616577148438,811.224609375,804.505615234375,811.6130981445312,808.034912109375,812.7958984375
1,1573744254.1309514,-0.03628356009721756,0.04936238378286362,0.1367070972919464,-0.12374670058488846,-0.2056039720773697,0.2166699767112732,813.0341796875,810.9497680664062,804.7844848632812,811.3621826171875,807.8270263671875,813.0020751953125,812.7695922851562,811.2161254882812,804.5193481445312,811.6207275390625,808.0532836914062,812.7799682617188
2,1573744254.1425745,-0.035263579338788986,0.048478659242391586,0.13557830452919006,-0.12249603122472763,-0.20630709826946259,0.21752630174160004,813.473388671875,811.4146118164062,805.2944946289062,811.8067016601562,808.364990234375,813.509033203125,813.2058715820312,811.6838989257812,805.0267333984375,812.0678100585938,808.594482421875,813.2836303710938
3,1573744254.1518745,-0.03494410961866379,0.0483868345618248,0.13574768602848053,-0.12242048233747482,-0.20616194605827332,0.217595636844635,813.4921875,811.4642944335938,805.3062744140625,811.8776245117188,808.3497314453125,813.5975341796875,813.2200317382812,811.7382202148438,805.033447265625,812.1436157226562,808.5836791992188,813.3678588867188
4,1573744254.1610444,-0.03486641123890877,0.048354536294937134,0.13582110404968262,-0.12242329120635986,-0.20611070096492767,0.21759141981601715,813.4678955078125,811.5068359375,805.3109741210938,811.8951416015625,808.3165893554688,813.6477661132812,813.1947631835938,811.7816772460938,805.0366821289062,812.1625366210938,808.5515747070312,813.4171752929688
5,1573744254.1700976,-0.035277109593153,0.04861849173903465,0.13607367873191833,-0.12278812378644943,-0.2059815675020218,0.21732191741466522,813.2030639648438,811.3283081054688,805.0799560546875,811.664306640625,808.0352783203125,813.4452514648438,812.9329833984375,811.6000366210938,804.8080444335938,811.9293823242188,808.267333984375,813.2175903320312
6,1573744254.1820393,-0.035820432007312775,0.048838306218385696,0.1357419192790985,-0.12276897579431534,-0.20626676082611084,0.21729564666748047,813.1912231445312,811.3683471679688,805.1005859375,811.6434326171875,808.0521850585938,813.4537353515625,812.9276123046875,811.6334838867188,804.8350830078125,811.90234375,808.2778930664062,813.2322998046875
7,1573744254.1916237,-0.03605055436491966,0.04892284795641899,0.1358455866575241,-0.12305597215890884,-0.2062181532382965,0.21709033846855164,813.0045166015625,811.06591796875,804.8458862304688,811.4022827148438,807.8531494140625,813.1416625976562,812.7440185546875,811.3280029296875,804.584228515625,811.6574096679688,808.0755004882812,812.9234619140625
8,1573744254.2001863,-0.03611445426940918,0.04898912459611893,0.13579119741916656,-0.1230410560965538,-0.20625640451908112,0.21710419654846191,813.0667114257812,810.9974365234375,804.8098754882812,811.4271240234375,807.886474609375,813.1025390625,812.8062133789062,811.2597045898438,804.5490112304688,811.681396484375,808.1082763671875,812.884765625
9,1573744254.210804,-0.03615543618798256,0.04913425073027611,0.13571341335773468,-0.12288355827331543,-0.2062993049621582,0.21722669899463654,813.1076049804688,810.9579467773438,804.7764282226562,811.4542236328125,807.8978271484375,813.098388671875,812.8450317382812,811.2223510742188,804.5138549804688,811.7101440429688,808.1212768554688,812.8790283203125
